Treated1_PE,Treated2_PE,Treated3_PE,Treated4_PE,Untreated1_PE,Untreated2_PE,Untreated3_PE,Untreated4_PE
4.22865,2.08128,3.43275,4.1616800000000005,2,3.42624,7.42149,4
0,0,0,0,0,0,0,0
13.71375,26.4467,27.53108,40.50337,41.32758,60.44575999999999,39.95124,28.66734
3.65157,0,1.66655,3.33934,3.52752,3.117513,2.19303,4.00615
11.42756,7.25943,10.22848,14.73552,21.65744,23.28011,21.919330000000002,22.99441
0,0,0,0,0,0,0,0
22.50481,28.04842,20.78518,30.9878,37.856829999999995,54.328810000000004,50.36367,40.1202
65.15543,50.989,49.9057,106.02,47.1548,64.3157,43.44901,44.60348
13.0658,26.49555,10.177886,21.202396,17.675257000000002,19.50267,13.91368,7.907299000000001
69.7391,112.516,75.4189,126.299,63.791,71.58,74.2099,60.6134
5.01403,11,6.00121,9,6.07738,14.09591,9,8.370930000000001
39.982795700000004,8.97608,2.427169,25.14272,4.040371998,3.392993,26.835440000000002,2.6440400938382
31.608135,16.657524000000002,11.69638768,35.6883156,49.4251,62.52343,64.0252,65.6593028572
18.702614,50.00003,15.378828,31.31777,20.465567,44.460776,19.673571,27.881439999999998
0,1,0,1,1,0,1,0
20.540512999999997,14.147569999999998,15.626438,20.130257,14.140509,14.646560000000001,11.03327,17.291520000000002
17.09739,18.31974,35.74743,24.696749999999998,43.87192999999999,77.5898,33.5955,65.2944
3,7.139278,2,9.99999,6.39591,11,12.000005999999999,7.823222
25.078806999999998,36.035,28.192920000000004,44.821310000000004,22.2902196787056,20.568392000000003,39.161100000000005,26.387416
0,1,0,3,1,0,1,0
20.64472,40.26683,38.4331,38.190900000000006,14.37406,18.97131,25.78435,18.6671
222.55301000000003,267.83299999999997,194.6241,348.47702,222.2891326208,312.5754022988,270.3266,250.53033999999997
141.02375,267.1923,159.12386999999998,297.081,222.1816,317.4163,235.37825999999998,286.37611
1.875780249805,1.94667,0.968944530271,0,0,0,0,0
3.9999953999999995,1,0,6,0,1,2,0
0,0,0,0,0,0,0,0
0,2,0,2.000002,1,4,1.92143,3
66.382236,93.51621999999999,69.61554000000001,80.99965,81.063001,94.83135299999998,88.736854,76.07232799999998
251.9313826024,302.6638500000001,154.68571,336.35941149999996,61.161270144974004,153.46699999999998,148.7492,124.43370000000002
24.634387999999998,54.529419999999995,35.99995500000001,64.00005,34.903031999999996,51.42372,40.504819999999995,44.9795611541971
8.926178,12.91865,12.76835,25.572468599999997,19.92689,38.86745785,31.8711,14.429546833
99.92076127023,135.19844,110.8306164,231.11543,169.73402000000002,166.41161999999997,135.56597,95.104702
10.000002,14,7.000002,17.999962,11,16.99999,16.999991,9
273.15540000000004,315.44059999999996,247.88273,409.90469999999993,105.97382999999999,197.93490000000003,146.7636,139.9294324127
17.1020946,34.13674,29,57.437856000000004,28.217883999999998,15.014282000000001,26.575763000000002,16.999997
9.06193,2.0376,10.55039,15.183530000000001,0,4.29339,2.1358,0
11.898798371000002,4.159039968999999,5.185990199999999,12.196151,9.16645,2.448152,5.9321,7.676131999999999
8.06108,7.690011999999999,2.83512,6.007291,11,7.18323,11.30539001527,7.1832400000000005
58.633399,94.58923000000001,68.985121,117.13956460999998,30.438098,40.780570000000004,32.534182,38.66109
18.999997,21.26952,15.536156,23.999962,42.774465,45.20910000000001,44.000009000000006,25.97093
7,6.000000999999999,6,8,6,5.00001,12.018370000000001,8.999995
35.275380999999996,50.07181502268849,35.040988,64.13211000000001,42.6799,46.355608000000004,39.10204,51.18670999999999
0,0,1,0,0,0,0,0
11.5998,53.9891779152,21.937107212,5.36888,41.18261408,99.528569,69.3550033959,66.006309276
98.75807,121.77886000000001,86.76237,173.52328,109.26772,169.2664,149.89869999999996,91.89084
15.355232,37.14513,21.548320310338,61.546440000000004,18.466623,21.508094999999997,20.198866000000002,20.31352
120.401,110.338,103.732,180.882,136.24,190.137,157.406,116.409
183.12582,234.41636890000004,120.00697,250.63672000000003,118.03776,189.94875,133.34647,110.61786000000002
106.194633,146.26361,119.439575,178.11575000000002,209.0812,303.8131231,292.099921526,254.72915999999998
0,0,1,0,3.888222,4.6686630000000005,1.2525119999999998,1.501674
39.91243,65.12047,25.121077999999997,50.054559999999995,65.15812000000001,59.55544,63.786429999999996,46.73411
141.7893,165.81942999999998,101.95895999999999,190.61364,231.37626,334.64135,311.98182999999995,234.54114
59.21071,65.2524829,63.284093,95.12871999999999,78.05091791,127.8680228,83.07073999999999,78.99997067525399
3,6,1,1.33717,0,2,3,4
8.931632,15.2891,11.35332,28.869100000000003,6.808717100000001,23.835220180062002,14.08557,5.7988853
5.999999,7.68223963,12,10.864989999999999,10,9,12.666071,8
2.88643,2.324368,5.26141,17.37748,4.95496,5.36367,8.69489,6.7383299999999995
0,3.999999,2,4.999999,7.999993,11.999983,8.000002,3.999999
3.00802,2.80999,3.08578,11.6904,2.91668,4.30087,4.25472,6.08133
5,1,0,3,2,1.93427,0.934267,0
0,0,0,0,0,0,0,0
1,0,4,2,2,1,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
32.263515,55.704882000000005,56.3566,48.20497,81.26939999999999,97.3982,71.03190000000001,55.29457
114.00003000000001,123.48579867400001,101.000080191315,157.6992460237511,49.000068999999996,65.999924,45.000006000000006,40.999953000000005
21.455569999999998,14.427206000000002,18.63539,16.2229951089,25.90316,36.310015,22.086526,17.911157
5,3,4,9,4,6.06754,7,4.0231
0,1.31835,4.403599,2,0,0,0,0
27.41272,56.646029999999996,28.2137,53.720060000000004,52.30005,51.00613,48.90345,29.5253
48.3919799,43.535210000000006,41.65521540478,59.032836700000004,52.44604100000001,75.44662,53.541470383100005,47.70514
1,0,0,0,0,0,0,0
200.84035999999998,283.24706999999995,193.221,376.80431999999996,206.72025000000002,300.80138999999997,160.03368373,197.86710053552298
4.398455714513,3.9909869999999996,2.70299,5.85315126,0,0,4.70299,1.8057468158599999
156.4314,235.35989999999998,227.35805,290.1187,264.6624,325.84000000000003,305.135,278.5511
0,3.93013,0,10.00046,1.000461,5.95288,5.85234,3.0004600000000003
7,6,0.0200563,6,0,0,0,0
171.536,222.27802,150.839,293.56307000000004,193.329,287.40276,261.941,219.80103
12.0615,17.491617,16.97345,23.1928,27.53455,42.03360000000001,33.67255,24.482129999999998
0,0,0,3.10409,0,0,0,0
3.99891,8.99598,5.99562,9.99569,11.992721000000001,6.9979510000000005,11.996621000000001,9.99339
33.36046,60.349359,31.353619671152902,98.47585,115.81497999999999,126.95754505299999,97.234722,105.08424000000001
7.3124769999999994,6.076529000000001,0,0.739814,5.991797999999999,4.88683,7.5822943272000005,0.464027
354.00092,467.99760000000003,297.60956400000003,587.0473539999999,37.999973,57.000001,47,31.216681
3.0000018357,2.9999960000000003,3,3.0000043688,2.812707,10.698436,16.955626,6.000005
112.000056182,133.99992999999998,81.95432000000001,156.9684,100.4415684,146.3048,87.185292,127.73429000000002
119.84570300000001,129.03422999999998,78.44704099999998,160.65415000000002,76.80528999999999,148.96463,83.40893,61.52917
107.92974667,84.7318988710404,117.1354300529933,214.176554621,11.16694559,28.99995,20.999998,11.701843949999999
8,7.15193146988,5.29629,12.573173,1,8.721601999999999,4.14815,3.9999990000000003
0,0,0,0,0,0,0,0
0,0.803251,0.757857,0.963096,1.71251,3.682040985935,1,0.701305
137.246825,164.039174,99.45515000000002,224.16129780900002,63.2466531591,122.65033000000001,120.872102,101.663654
2,7.000002,6,5,1.73503,4.999999000000001,3.00371,4.330024
0,0,0,0,0,0,0,0
20.10287,23.283426,17.566670000000002,13.499309,4.093465999999999,3.09774,6.2211099999999995,7.23655
9,15.99999,5,15,9.0649865,22.000007,17.99996,8
12,11.02821,13,14.999996,8.999998,20,15.000005,14
1.0589490000000001,0.18628,1.2008304054810002,1.798494,4.000002,1.201277,0.664939,8.999996999999999
9.999998999999999,10.61347,4.267327,6.854659999999999,9.54418,32.30095,7.1367837210800005,21.52603
62.999981999999996,106.99999,72.68526603250001,114.99999000000001,28.607273,54.00001,65.99997099999999,59.9999750511247
109.49704699999998,122.519650212555,102.7164782,128.247218,35.407958046,97.17027245899999,114.11415,43.93307
0,0,0,0,0,0,0,0
15.000039999999998,16.2505,12.999993,26.500034000000003,17.50004,29.999983,21.4999799,20.500036899999998
15.000000000000002,21.99999,4.999998000000001,27.50375432,11.000005,21.000003,19,17
16.653613,31.189749999999997,19.609136000000003,30.428950000000004,30.401049999999998,35.827400000000004,32.649597,29.676804
27.0213,40.26146,28.497049999999998,28.374504,24.51829,27.349539,16.939301,23.81547
1.69603,0.982554,1.813366,4.3565778,22.991755,17.20439,20.312694,18.129388000000002
28.914894999999998,59.199326,28.920854100000003,27.986629999999998,27.0000348519,46.24414,24.4882,29.641579999999998
