Treated1_SE,Treated2_SE,Treated3_SE,Treated4_SE,Untreated1_SE,Untreated2_SE,Untreated3_SE,Untreated4_SE
3.237,2.0818,3.13396,4.75296,2,4.02431,5.45854,3
0,0,0,0,0,0,0,0
16.99996,20.6067,29.11259,30.29276,40.35749,47.68943,41.786699999999996,25.46493
3.1852,0,1.21298,1.36567,2.48371,2.497172,1.35663,2.69013
13.08682,9.21094,9.80993,15.754100000000001,21.54466,22.4923,23.9133,17.236011270000002
0,0,0,0,0,0,0,0
4.5342,1.88452,1.94066,1.99357,2.02953,1.9528,3.89746,0
24.47035,22.22864,13.8646,29.1919,9.02637,9.73274,1.28599,8.83105
8.408570000000001,16.36144,5.55235,12.711189999999998,10.8833,12.081449999999998,4.65705,3.55235
58.8047,85.4684,67.5265,103.08,54.7944,62.4776,68.2221,51.3084
4.01403,9,5.002314999999999,9,3.05274,9.15301,9,5.543710000000001
5.6486557,7.76269621855,2.964045,25.29983,2.2159096,0,4.81352,0.644045
12.210531835000001,8.31258e-4,6.67318e-5,16.128722035,17.0408874,32.4539,39.8931,37.3229
10.09249,40.00003,11.256699999999999,28.56891,17.4178,29.347659999999998,18.559440000000002,18.606679999999997
0,0,0,0,0,0,0,0
15.442166,9.43299,11.874091,15.2121,12.204643,12.044369999999999,11.431058,10.0864
11.2777,10.987,19.8436,15.7263,29.3129,47.4231,11.7193,47.7535
3.99702,4.16803,2,9.99032,4.4585539999999995,11,6.4519,4.584015
34.56658,32.3108,41.75399,52.955929999999995,20.8848,53.78051,34.422301,34.370824000000006
0,1,0,2,1,0,1,0
3.30063,16.57718,10.30282,7.52044,0,3.68723,7.98043,1.45815
223.76551,245.2453127095,196.00041000000002,334.229600355558,197.18591861000002,351.994,301.76527999999996,234.76476000000002
67.84600999999999,70.7453,57.842040000000004,100.24480999999999,83.6305,107.76820000000001,82.54970999999999,89.90965999999999
0,0,0,0,0,0,0,0
1,1,0,3.9999969999999996,0,0,1,0
0,0,0,0,0,0,0,0
1,1,0,2.000002,1,3,0.323957,1
28.38851,41.098608481,5.77068,2.55197,15.28013,0,2.85353,14.41507
56.64232,57.45669,1.0424700854064,71.77447000000001,8.14486,9.11233,12.2974,31.44113
22.634348000000003,33.53736,19.0053,20.21009643,10.440439999999999,35.25639,17.80609,37.268663
4.121700000000001,9.58614,4.989016,11.4372,8.314224,11.542079999999999,12.401769999999999,10.5149
31.57478,25.34743,40.54945,50.950553000000006,29.121617,52.49997,35.0434,32.15504
10,13,7,20,11,18,16,7
62.5633,84.37284269999999,72.6764020527,167.8039,13.6964,63.227199999999996,2.45237e-6,56.885500667461
10.611488999999999,8.114859000000001,27.000043,49.2166,25.682394,12.859575,22.2051433,15.999951999999999
5.61379,1.96429,7.83138,7.43479,0,0,2.07474,0
2.63273,1.61652,3.17747,6.34896,2.26136676523,0,2.3053,2.05079
6.061079,4.109593,2.12216,3.87448,7.06108,4.04271,11.528435,1.42016
65.05474199999999,89.26284,67.94019,98.405572,28.87272,37.433293,28.68138,32.66898
14.950520000000001,18.9651,16.42481,25.062400028757597,42.8883,44,41,30.933999999999997
6,5,7,6.000005000000001,5,4,11,2.966076
3.3151,11.034379,9.47875,5.22877,13.510169,1.571215,0.4258933602,6.421568300000001
0,0,0.454742,0,0,0,0,0
13.5383,43.991113194831,20.9047426843,6.4304,51.121454895599996,93.30180362428,58.517230209999994,63.415662624599996
10.2053,17.3325,13.6085,22.4483,8.589399,21.58129,26.8263,13.677539
8.710106,25.21982,19.080949999999998,46.11633,12.6402,10.223220000000001,7.6225200313564,12.81356
3.14338e-8,0,0,0,0,0,0,0
27.20816,62.90581999999999,6.41178793,26.1532,48.906484999999996,40.6549223,37.332040000000006,35.431039999999996
119.14894,100.61599002880389,106.48588000000001,150.417282,163.65009999999998,289.30914,258.13837901489995,185.97096000000002
0,0,0,0,3.40841,4.577,1.50167,2
1,0,0,0,2,0,0,0
85.61866,87.38945,56.11108,117.54139,127.82775000000001,188.86243,182.07778,130.727592
43.6018094194,45.03996896136,35.5957825703,68.41715001290169,46.793997999999995,97.94096,54.06220999999999,32.29791
3,4,2,3.57136,0,2,2,3
13.99999,16.05208,9.33463,29.999950000000002,6.43635,22.692140000000002,17.922815,4.25074757
5.002261,8.53231,10,12.0000000254736,9.02782,9.00000831,11.709100000000001,8.000000045824699
1.86904,1.30356,0,7.91067,2.86904,0,0,1.86904
0,1.9999959999999999,2,5,8.000002,10.000003,3.9999970280880994,2
31.0466,25.2492,21.2208,46.3533,52.8005,58.6079,50.39971,56.2173
2.6090299999999997,1,0,3,2,0.868535,0,0
0,0,0,0,0,0,0,0
1,0,1,2,1,1,1,0
0,0,1.15141,0,0,0,0,0
0,0,0,0,0,0,0,0
0,6.37223,6.76012,15.0889,1,22.3493,26.8602,15.3092
85.99998056,95.99996273855001,66.99996200000001,116.00004019999999,29.99996,48.00001,34.00004,33.000014
16.42148072572,2.738353,12.419033004300001,10.60621,20.85418,21.34467,14.826319999999999,13.37461
6,4,5,12.0374,5,6,8.09997,6.00536
0,0.55813,0,2,0,0,0,0
18.24767,34.3122,15.1158,16.078580000000002,26.85286,27.97979,30.17,7.70638
23.54533,17.2219500150664,16.04497847,32.73884,33.66117,42.55642,38.005680000000005,5.837149999999999
1,0,0,0,0,0,0,0
62.129889999999996,53.193329999999996,56.9834,106.05294,1.08964e-6,84.70533,4.9663012359000005,1.54567e-6
0,0,1.70064,0,0.872711,0,1.49084,0
0,0,0,0,0,0,0,0
0,3.69082,0,6.262568,0,6.108561,4.83934,0.885087
0,0,0,0,0,0,0,0
133.56091,174.25132,115.466,205.57408,148.675,224.76618000000002,189.631,165.853
8.61327,7.656964594,12.3552,21.500566000000003,30.730649999999997,33.159888,28.50853,20.72057
0,0,0,0,0,0,0,0
3.99766,7.9962740000000005,4.99767,9.99463,12.9958,7.99646,10.993,8.99604
25.28559,37.102795,21.765819,60.350789999999996,60.171067,95.0968,79.34704145742,66.9079297218
8.156237,4.34566,0,0.257884,5.991797999999999,4.88683,8.232622000000001,0.464027
343.00030000000004,436.0001,278.72052399999995,567.04625,36.99996,52.04665,45.00001,29.09335
3.000005,1,0,2.000005,2,6,4.999996,2.9999970187099
28.26556,42.7093,18.5467,74.23698,60.207200701203,2.24058,29.00063,0
25.70483,28.255110000000002,18.695415850000003,29.76816,19.06731,21.5697436,23.732480000000002,21.492800653722
67.28790000000001,30.775090223899998,56.9556146,116.29826,7.05653883,13.36882773,9.39235,4.307688969000001
1,2.6635,1,1.22243,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0.564175,0,4.61369,2.29754e-6,0,0
99.2043036,103.742,59.9954614,160.11923,30.787,93.02287000000001,74.24663,57.99544
2,7,6,5,2.09631,4.477081999999999,2.00238,3.09631
0,0,0,0,0,0,0,0
8.83863,0.913814,6.16656,1,0,0,3.41335,0.327934
9,13.999997999999998,5,15,9.145705,24.00001,16.99999,6
6,10.11832,9.99999,9.000001,5,13,7,8
0.998189,1.33092,6,3.33182,3.0000039999999997,6.9999993,0,0.6645540294851999
1.52206,2.47402,0.850279,3.3530435,5.44229,7.5953,1.51514,4.35573
61.00004,94.92083,67.000044021368,97.22694004517051,28.321044021429998,50.0000470149645,56.3209497,56.999990016407295
62.012000085736304,64.952757,51.9784,86.8816,27.5273,65.2195,61.68059259,26.175712
0,0,0,0,0,0,0,0
15,17.7505,13.50001,23.504161000000003,17.50004,29.500033000000002,21.5,21.0000382
13.00000802336,16.81558,4,27.54523,5.1773666,18.742582999999996,20.999992000000002,18.99999918
11.0632,24.1884,13.9923,11.389062000000001,19.8774,24.8013,22.8042,20.4924
22.7887,32.997,23.63796,27.5482,18.2724,26.1392,16,19.91413
0,0,1.425561,2.059e-8,6.0189,0,15.3287,9.71629
10.7244562,39.60347588,1.933134815,4.1630122,21.4116883681,12.19489,1.90653,2.936856
28.054267996000004,4.01681,0.289905684,11.273195000000001,2.453762,9.492288,10.000005,7.86768966459
25,41,30.99855,47.997299999999996,24.99997,18.253709999999998,29.05896,23.999984660000003
53.841899999999995,76.3468,68.406,113.8806,45.314,62.1718,44.0122,55.614
0,0,0,0,0,0,0,0
2,0,0,2,1,1,0,0
